,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,HOUSTON_ACTION,LA CLIPPERS_SCORE,HOUSTON_SCORE
384,4,9:34.0,S. Gilgeous-Alexander makes 3-pt jump shot from 23 ft (assist by M. Teodosić),,105,83
385,4,9:22.0,,E. Gordon misses 2-pt layup from 6 ft (block by M. Harrell),105,83
386,4,9:21.0,,Offensive rebound by Team,105,83
387,4,9:17.0,,Turnover by E. Gordon (bad pass; steal by M. Scott),105,83
388,4,9:10.0,S. Gilgeous-Alexander misses 2-pt jump shot from 17 ft,,105,83
389,4,9:07.0,,Defensive rebound by E. Gordon,105,83
390,4,9:04.0,,Turnover by C. Paul (bad pass; steal by S. Gilgeous-Alexander),105,83
391,4,9:01.0,S. Gilgeous-Alexander makes 2-pt dunk from 1 ft,,107,83
392,4,9:01.0,,Houston full timeout,107,83
393,4,8:41.0,,Shooting foul by M. Scott (drawn by C. Anthony),107,83
394,4,8:41.0,,C. Anthony misses free throw 1 of 2,107,83
395,4,8:41.0,,Offensive rebound by Team,107,83
396,4,8:41.0,,C. Anthony makes free throw 2 of 2,107,84
397,4,8:29.0,M. Harrell makes 2-pt dunk from 2 ft (assist by M. Teodosić),,109,84
398,4,8:28.0,Technical foul by M. Harrell,,109,84
399,4,8:28.0,,C. Paul makes technical free throw,109,85
400,4,8:15.0,,E. Gordon misses 3-pt jump shot from 27 ft,109,85
401,4,8:11.0,Defensive rebound by M. Scott,,109,85
402,4,7:52.0,M. Harrell makes 2-pt hook shot from 3 ft,,111,85
403,4,7:41.0,,C. Paul makes 2-pt jump shot from 19 ft,111,87
404,4,7:20.0,M. Teodosić makes 3-pt jump shot from 28 ft (assist by M. Scott),,114,87
405,4,7:05.0,,C. Capela makes 2-pt dunk from 2 ft (assist by C. Paul),114,89
406,4,6:41.0,M. Scott misses 2-pt layup from 1 ft,,114,89
407,4,6:36.0,Offensive rebound by M. Teodosić,,114,89
408,4,6:36.0,M. Teodosić makes 2-pt layup from 2 ft,,116,89
409,4,6:15.0,,C. Paul misses 2-pt layup from 3 ft,116,89
410,4,6:10.0,,Offensive rebound by C. Capela,116,89
411,4,6:10.0,,C. Capela makes 2-pt dunk at rim,116,91
412,4,5:56.0,L. Williams makes 2-pt layup from 1 ft,,118,91
413,4,5:35.0,,C. Anthony makes 3-pt jump shot from 27 ft (assist by C. Paul),118,94
414,4,5:25.0,Turnover by M. Teodosić (bad pass),,118,94
415,4,5:16.0,,E. Gordon misses 3-pt jump shot from 27 ft,118,94
416,4,5:14.0,Defensive rebound by M. Teodosić,,118,94
417,4,5:10.0,M. Scott makes 2-pt layup from 1 ft (assist by M. Teodosić),,120,94
418,4,5:10.0,,Houston full timeout,120,94
419,4,5:10.0,,M. Carter-Williams enters the game for C. Capela,120,94
420,4,5:10.0,,G. Clark enters the game for E. Gordon,120,94
421,4,5:10.0,,G. Green enters the game for C. Paul,120,94
422,4,5:10.0,,I. Hartenstein enters the game for P. Tucker,120,94
423,4,5:00.0,,Shooting foul by M. Teodosić (drawn by M. Carter-Williams),120,94
424,4,5:00.0,,M. Carter-Williams makes free throw 1 of 2,120,95
425,4,5:00.0,,M. Carter-Williams misses free throw 2 of 2,120,95
426,4,4:59.0,Defensive rebound by Team,,120,95
427,4,4:59.0,,Loose ball foul by I. Hartenstein (drawn by M. Harrell),120,95
428,4,4:47.0,M. Scott makes 2-pt jump shot from 20 ft,,122,95
429,4,4:47.0,Away from play foul by C. Anthony (drawn by M. Harrell),,122,95
430,4,4:47.0,J. Robinson enters the game for L. Williams,,122,95
431,4,4:47.0,M. Harrell makes free throw 1 of 1,,123,95
432,4,4:31.0,,C. Anthony makes 3-pt jump shot from 26 ft (assist by M. Carter-Williams),123,98
433,4,4:21.0,Shooting foul by I. Hartenstein (drawn by S. Gilgeous-Alexander),,123,98
434,4,4:21.0,S. Gilgeous-Alexander makes free throw 1 of 2,,124,98
435,4,4:21.0,B. Marjanović enters the game for M. Harrell,,124,98
436,4,4:21.0,S. Gilgeous-Alexander makes free throw 2 of 2,,125,98
437,4,4:06.0,,G. Green makes 2-pt jump shot from 10 ft,125,100
438,4,3:50.0,Shooting foul by G. Green (drawn by B. Marjanović),,125,100
439,4,3:50.0,,Houston full timeout,125,100
440,4,3:50.0,T. Wallace enters the game for M. Teodosić,,125,100
441,4,3:50.0,B. Marjanović misses free throw 1 of 2,,125,100
442,4,3:50.0,Offensive rebound by Team,,125,100
443,4,3:50.0,B. Marjanović makes free throw 2 of 2,,126,100
444,4,3:43.0,,Personal foul by J. Robinson (drawn by M. Carter-Williams),126,100
445,4,3:38.0,,G. Green makes 3-pt jump shot from 27 ft (assist by I. Hartenstein),126,103
446,4,3:24.0,J. Robinson makes 3-pt jump shot from 26 ft,,129,103
447,4,3:10.0,,M. Carter-Williams misses 2-pt jump shot from 6 ft,129,103
448,4,3:10.0,,Offensive rebound by I. Hartenstein,129,103
449,4,3:04.0,,I. Hartenstein misses 2-pt layup at rim,129,103
450,4,3:03.0,Defensive rebound by B. Marjanović,,129,103
451,4,2:50.0,M. Scott misses 2-pt jump shot from 5 ft,,129,103
452,4,2:48.0,,Defensive rebound by G. Green,129,103
453,4,2:38.0,,G. Green makes 2-pt jump shot from 18 ft,129,105
454,4,2:16.0,B. Marjanović misses 2-pt hook shot from 4 ft (block by I. Hartenstein),,129,105
455,4,2:10.0,Offensive rebound by B. Marjanović,,129,105
456,4,2:10.0,B. Marjanović makes 2-pt dunk from 1 ft,,131,105
457,4,2:08.0,Technical foul by B. Marjanović,,131,105
458,4,2:08.0,,G. Green makes technical free throw,131,106
459,4,2:08.0,,C. Capela enters the game for C. Anthony,131,106
460,4,1:53.0,,G. Green misses 3-pt jump shot from 27 ft,131,106
461,4,1:50.0,Defensive rebound by B. Marjanović,,131,106
462,4,1:34.0,J. Robinson misses 2-pt jump shot from 10 ft,,131,106
463,4,1:32.0,,Defensive rebound by M. Carter-Williams,131,106
464,4,1:30.0,,Shooting foul by T. Wallace (drawn by M. Carter-Williams),131,106
465,4,1:30.0,,M. Carter-Williams makes free throw 1 of 2,131,107
466,4,1:30.0,,M. Carter-Williams makes free throw 2 of 2,131,108
467,4,1:21.0,J. Robinson misses 3-pt jump shot from 27 ft,,131,108
468,4,1:19.0,,Defensive rebound by G. Clark,131,108
469,4,1:10.0,,G. Green makes 3-pt jump shot from 27 ft,131,111
470,4,0:54.0,T. Wallace makes 2-pt jump shot from 6 ft,,133,111
471,4,0:43.0,,I. Hartenstein misses 3-pt jump shot from 26 ft,133,111
472,4,0:39.0,,Offensive rebound by C. Capela,133,111
473,4,0:37.0,,M. Carter-Williams misses 3-pt jump shot from 26 ft,133,111
474,4,0:35.0,,Offensive rebound by C. Capela,133,111
475,4,0:35.0,,Personal foul by J. Robinson (drawn by C. Capela),133,111
476,4,0:35.0,,C. Capela makes free throw 1 of 2,133,112
477,4,0:35.0,,C. Capela makes free throw 2 of 2,133,113
478,4,0:24.0,M. Scott misses 3-pt jump shot from 23 ft,,133,113
479,4,0:22.0,,Defensive rebound by G. Green,133,113
480,4,0:07.0,,Turnover by G. Green (bad pass; steal by B. Marjanović),133,113
