,QUARTER,TIME_REMAINING,HOUSTON_ACTION,WASHINGTON_ACTION,HOUSTON_SCORE,WASHINGTON_SCORE
393,4,7:07.0,Defensive rebound by P. Tucker,,105,106
394,4,7:03.0,Personal foul by J. Wall (drawn by C. Capela),,105,106
395,4,6:50.0,E. Gordon makes 3-pt jump shot from 26 ft (assist by D. House),,108,106
396,4,6:36.0,,Personal foul by D. House (drawn by M. Morris),108,106
397,4,6:36.0,,Washington full timeout,108,106
398,4,6:36.0,,M. Morris misses free throw 1 of 2,108,106
399,4,6:36.0,,Offensive rebound by Team,108,106
400,4,6:36.0,,M. Morris makes free throw 2 of 2,108,107
401,4,6:19.0,C. Capela makes 2-pt layup from 1 ft (assist by E. Gordon),,110,107
402,4,6:11.0,,J. Wall makes 2-pt layup from 1 ft,110,109
403,4,5:50.0,P. Tucker makes 2-pt layup from 2 ft (assist by J. Harden),,112,109
404,4,5:30.0,,J. Wall makes 3-pt jump shot from 26 ft (assist by A. Rivers),112,112
405,4,5:00.0,J. Harden misses 2-pt layup from 12 ft,,112,112
406,4,4:55.0,Offensive rebound by D. House,,112,112
407,4,4:55.0,C. Capela misses 2-pt layup from 1 ft,,112,112
408,4,4:55.0,Offensive rebound by C. Capela,,112,112
409,4,4:51.0,Personal foul by M. Morris (drawn by J. Harden),,112,112
410,4,4:51.0,,O. Porter enters the game for A. Rivers,112,112
411,4,4:42.0,E. Gordon makes 3-pt jump shot from 27 ft (assist by J. Harden),,115,112
412,4,4:15.0,,J. Green makes 2-pt hook shot from 9 ft (assist by J. Wall),115,114
413,4,3:57.0,C. Capela misses 2-pt layup from 3 ft,,115,114
414,4,3:52.0,Offensive rebound by C. Capela,,115,114
415,4,3:52.0,C. Capela makes 2-pt layup from 1 ft,,117,114
416,4,3:44.0,,M. Morris makes 3-pt jump shot from 26 ft (assist by J. Green),117,117
417,4,3:42.0,Houston full timeout,,117,117
418,4,3:20.0,J. Harden makes 3-pt jump shot from 26 ft,,120,117
419,4,3:20.0,Shooting foul by J. Green (drawn by J. Harden),,120,117
420,4,3:20.0,J. Ennis enters the game for D. House,,120,117
421,4,3:20.0,J. Harden makes free throw 1 of 1,,121,117
422,4,3:10.0,,B. Beal makes 2-pt jump shot from 16 ft (assist by J. Wall),121,119
423,4,2:45.0,J. Harden misses 3-pt jump shot from 29 ft,,121,119
424,4,2:41.0,,Defensive rebound by J. Wall,121,119
425,4,2:34.0,,J. Green makes 2-pt layup from 1 ft (assist by J. Wall),121,121
426,4,2:30.0,Houston full timeout,,121,121
427,4,2:30.0,D. House enters the game for J. Ennis,,121,121
428,4,2:05.0,J. Harden misses 2-pt layup from 4 ft,,121,121
429,4,2:04.0,Offensive rebound by P. Tucker,,121,121
430,4,2:03.0,P. Tucker misses 2-pt layup from 2 ft,,121,121
431,4,2:01.0,,Defensive rebound by O. Porter,121,121
432,4,1:53.0,,Turnover by B. Beal (bad pass; steal by P. Tucker),121,121
433,4,1:49.0,D. House makes 2-pt dunk at rim (assist by J. Harden),,123,121
434,4,1:27.0,,J. Wall misses 3-pt jump shot from 27 ft,123,121
435,4,1:24.0,,Offensive rebound by M. Morris,123,121
436,4,1:23.0,,B. Beal makes 3-pt jump shot from 27 ft (assist by J. Green),123,124
437,4,1:00.0,J. Harden misses 3-pt jump shot from 26 ft,,123,124
438,4,0:59.0,Offensive rebound by Team,,123,124
439,4,0:59.0,Turnover by Team (shot clock),,123,124
440,4,0:44.0,,O. Porter misses 3-pt jump shot from 26 ft,123,124
441,4,0:40.0,Defensive rebound by Team,,123,124
442,4,0:29.0,Turnover by J. Harden (lost ball; steal by M. Morris),,123,124
443,4,0:24.0,,J. Wall misses 2-pt layup from 2 ft,123,124
444,4,0:22.0,Defensive rebound by P. Tucker,,123,124
445,4,0:19.0,Turnover by J. Harden (lost ball; steal by O. Porter),,123,124
446,4,0:19.0,,Personal foul by P. Tucker (drawn by O. Porter),123,124
447,4,0:19.0,,O. Porter misses free throw 1 of 2,123,124
448,4,0:19.0,,Offensive rebound by Team,123,124
449,4,0:19.0,,O. Porter makes free throw 2 of 2,123,125
450,4,0:09.0,C. Capela makes 2-pt dunk from 1 ft (assist by J. Harden),,125,125
451,4,0:09.0,,Washington full timeout,125,125
452,4,0:03.0,,J. Wall misses 2-pt jump shot from 6 ft (block by P. Tucker),125,125
453,4,0:02.0,Defensive rebound by P. Tucker,,125,125
454,4,0:01.0,Houston full timeout,,125,125
455,4,0:01.0,G. Clark enters the game for C. Capela,,125,125
456,4,0:00.0,E. Gordon misses 3-pt jump shot from 24 ft (block by J. Wall),,125,125
457,4,0:00.0,Offensive rebound by Team,,125,125
458,1OT,4:37.0,,O. Porter makes 2-pt hook shot from 7 ft (assist by J. Wall),125,127
459,1OT,4:12.0,P. Tucker misses 3-pt jump shot from 24 ft,,125,127
460,1OT,4:05.0,,Defensive rebound by J. Wall,125,127
461,1OT,3:49.0,,J. Wall makes 2-pt jump shot from 16 ft,125,129
462,1OT,3:27.0,Turnover by J. Harden (bad pass),,125,129
463,1OT,3:14.0,,O. Porter misses 2-pt jump shot from 18 ft,125,129
464,1OT,3:09.0,Defensive rebound by P. Tucker,,125,129
465,1OT,3:05.0,Personal foul by B. Beal (drawn by J. Harden),,125,129
466,1OT,2:56.0,D. House misses 3-pt jump shot from 26 ft,,125,129
467,1OT,2:52.0,Offensive rebound by P. Tucker,,125,129
468,1OT,2:42.0,Shooting foul by J. Wall (drawn by J. Harden),,125,129
469,1OT,2:42.0,J. Harden makes free throw 1 of 2,,126,129
470,1OT,2:42.0,J. Harden misses free throw 2 of 2,,126,129
471,1OT,2:39.0,,Defensive rebound by O. Porter,126,129
472,1OT,2:18.0,,J. Wall makes 2-pt jump shot from 21 ft (assist by J. Green),126,131
473,1OT,1:52.0,Turnover by J. Harden (bad pass; steal by O. Porter),,126,131
474,1OT,1:50.0,,B. Beal makes 2-pt dunk from 1 ft (assist by O. Porter),126,133
475,1OT,1:50.0,Houston full timeout,,126,133
476,1OT,1:35.0,J. Harden makes 3-pt jump shot from 25 ft,,129,133
477,1OT,1:13.0,,Turnover by J. Green (traveling),129,133
478,1OT,1:03.0,Offensive foul by J. Harden (drawn by J. Wall),,129,133
479,1OT,1:03.0,Turnover by J. Harden (offensive foul),,129,133
480,1OT,0:41.0,,J. Wall misses 2-pt jump shot from 16 ft,129,133
481,1OT,0:37.0,Defensive rebound by E. Gordon,,129,133
482,1OT,0:31.0,E. Gordon misses 3-pt jump shot from 27 ft,,129,133
483,1OT,0:27.0,Offensive rebound by C. Capela,,129,133
484,1OT,0:19.0,J. Harden misses 3-pt jump shot from 26 ft,,129,133
485,1OT,0:15.0,Offensive rebound by J. Harden,,129,133
486,1OT,0:15.0,Offensive foul by P. Tucker (drawn by J. Green),,129,133
487,1OT,0:15.0,Turnover by P. Tucker (offensive foul),,129,133
488,1OT,0:15.0,,Washington full timeout,129,133
489,1OT,0:15.0,,T. Satoranský enters the game for J. Green,129,133
490,1OT,0:13.0,,Personal foul by C. Capela (drawn by M. Morris),129,133
491,1OT,0:10.0,,Personal foul by J. Harden (drawn by J. Wall),129,133
492,1OT,0:10.0,,J. Wall misses free throw 1 of 2,129,133
493,1OT,0:10.0,,Offensive rebound by Team,129,133
494,1OT,0:10.0,,J. Green enters the game for T. Satoranský,129,133
495,1OT,0:10.0,,J. Wall makes free throw 2 of 2,129,134
496,1OT,0:10.0,Houston full timeout,,129,134
497,1OT,0:06.0,E. Gordon misses 3-pt jump shot from 23 ft,,129,134
498,1OT,0:01.0,Offensive rebound by C. Capela,,129,134
499,1OT,0:01.0,C. Capela makes 2-pt layup from 1 ft,,131,134
500,1OT,0:01.0,,Washington full timeout,131,134
501,1OT,0:01.0,,Personal foul by P. Tucker (drawn by J. Wall),131,134
502,1OT,0:01.0,,J. Wall makes free throw 1 of 2,131,135
503,1OT,0:01.0,,J. Wall misses free throw 2 of 2,131,135
504,1OT,0:00.0,Defensive rebound by J. Harden,,131,135
