,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,ATLANTA_ACTION,CLEVELAND_SCORE,ATLANTA_SCORE
390,4,7:22.0,Personal foul by A. Poythress (drawn by L. Nance),,86,93
391,4,7:22.0,,J. Collins enters the game for J. Anderson,86,93
392,4,7:22.0,,K. Huerter enters the game for A. Len,86,93
393,4,7:11.0,Shooting foul by D. Bembry (drawn by M. Dellavedova),,86,93
394,4,7:11.0,M. Dellavedova makes free throw 1 of 2,,87,93
395,4,7:11.0,,V. Carter enters the game for A. Poythress,87,93
396,4,7:11.0,M. Dellavedova makes free throw 2 of 2,,88,93
397,4,6:50.0,,D. Bembry misses 3-pt jump shot from 24 ft,88,93
398,4,6:48.0,,Offensive rebound by Team,88,93
399,4,6:38.0,,V. Carter misses 3-pt jump shot from 25 ft,88,93
400,4,6:37.0,Defensive rebound by L. Nance,,88,93
401,4,6:37.0,Personal foul by J. Collins (drawn by L. Nance),,88,93
402,4,6:25.0,J. Clarkson misses 3-pt jump shot from 25 ft,,88,93
403,4,6:21.0,Offensive rebound by J. Jones,,88,93
404,4,6:20.0,Shooting foul by J. Collins (drawn by J. Jones),,88,93
405,4,6:20.0,J. Jones makes free throw 1 of 2,,89,93
406,4,6:20.0,J. Jones misses free throw 2 of 2,,89,93
407,4,6:17.0,,Defensive rebound by J. Collins,89,93
408,4,6:02.0,,V. Carter makes 2-pt dunk from 2 ft (assist by K. Huerter),89,95
409,4,6:00.0,Cleveland full timeout,,89,95
410,4,5:47.0,J. Jones misses 2-pt jump shot from 10 ft,,89,95
411,4,5:45.0,,Defensive rebound by J. Collins,89,95
412,4,5:24.0,,J. Collins misses 2-pt hook shot from 12 ft,89,95
413,4,5:20.0,Defensive rebound by J. Jones,,89,95
414,4,5:04.0,J. Clarkson makes 3-pt jump shot from 25 ft (assist by L. Nance),,92,95
415,4,4:42.0,,Turnover by V. Carter (bad pass; steal by M. Dellavedova),92,95
416,4,4:37.0,Turnover by M. Dellavedova (bad pass; steal by T. Young),,92,95
417,4,4:34.0,,V. Carter makes 3-pt jump shot from 23 ft (assist by T. Young),92,98
418,4,4:21.0,Cleveland full timeout,,92,98
419,4,4:21.0,C. Osman enters the game for M. Dellavedova,,92,98
420,4,4:21.0,C. Sexton enters the game for J. Jones,,92,98
421,4,4:16.0,A. Burks misses 2-pt layup from 1 ft,,92,98
422,4,4:14.0,,Defensive rebound by J. Collins,92,98
423,4,4:13.0,,Turnover by J. Collins (bad pass; steal by J. Clarkson),92,98
424,4,3:57.0,A. Burks makes 2-pt layup from 2 ft (assist by C. Sexton),,94,98
425,4,3:46.0,,K. Huerter misses 2-pt jump shot from 11 ft,94,98
426,4,3:46.0,,Offensive rebound by Team,94,98
427,4,3:37.0,,T. Young misses 2-pt layup from 1 ft,94,98
428,4,3:34.0,Defensive rebound by L. Nance,,94,98
429,4,3:28.0,C. Sexton makes 2-pt jump shot from 14 ft (assist by A. Burks),,96,98
430,4,3:15.0,,Shooting foul by C. Sexton (drawn by T. Young),96,98
431,4,3:15.0,,T. Young makes free throw 1 of 3,96,99
432,4,3:15.0,,T. Young makes free throw 2 of 3,96,100
433,4,3:15.0,,Atlanta full timeout,96,100
434,4,3:15.0,,T. Young makes free throw 3 of 3,96,101
435,4,3:08.0,Personal foul by K. Huerter (drawn by A. Burks),,96,101
436,4,3:08.0,A. Burks makes free throw 1 of 2,,97,101
437,4,3:08.0,A. Burks makes free throw 2 of 2,,98,101
438,4,3:00.0,,T. Young makes 3-pt jump shot from 27 ft,98,104
439,4,2:38.0,L. Nance makes 2-pt layup from 2 ft (assist by A. Burks),,100,104
440,4,2:20.0,,D. Bembry misses 2-pt jump shot from 9 ft,100,104
441,4,2:16.0,Defensive rebound by C. Osman,,100,104
442,4,2:05.0,Personal foul by T. Young (drawn by C. Osman),,100,104
443,4,2:05.0,C. Osman misses free throw 1 of 2,,100,104
444,4,2:05.0,Offensive rebound by Team,,100,104
445,4,2:05.0,C. Osman makes free throw 2 of 2,,101,104
446,4,1:48.0,,J. Collins makes 2-pt dunk from 1 ft (assist by T. Young),101,106
447,4,1:35.0,L. Nance makes 2-pt layup from 1 ft (assist by C. Sexton),,103,106
448,4,1:24.0,,K. Huerter misses 3-pt jump shot from 24 ft,103,106
449,4,1:20.0,Defensive rebound by J. Clarkson,,103,106
450,4,1:18.0,C. Osman makes 2-pt dunk from 1 ft (assist by J. Clarkson),,105,106
451,4,1:18.0,Shooting foul by D. Bembry (drawn by C. Osman),,105,106
452,4,1:18.0,C. Osman misses free throw 1 of 1,,105,106
453,4,1:15.0,,Defensive rebound by V. Carter,105,106
454,4,1:01.0,,K. Huerter misses 3-pt jump shot from 25 ft,105,106
455,4,0:57.0,Defensive rebound by C. Sexton,,105,106
456,4,0:57.0,Personal foul by V. Carter (drawn by C. Sexton),,105,106
457,4,0:57.0,C. Sexton misses free throw 1 of 2,,105,106
458,4,0:57.0,Offensive rebound by Team,,105,106
459,4,0:57.0,C. Sexton makes free throw 2 of 2,,106,106
460,4,0:57.0,,Atlanta full timeout,106,106
461,4,0:50.0,,K. Huerter misses 2-pt layup from 1 ft,106,106
462,4,0:47.0,,Offensive rebound by J. Collins,106,106
463,4,0:47.0,,J. Collins misses 2-pt layup from 1 ft,106,106
464,4,0:47.0,,Offensive rebound by J. Collins,106,106
465,4,0:47.0,,J. Collins makes 2-pt layup from 1 ft,106,108
466,4,0:37.0,C. Sexton misses 2-pt layup from 2 ft,,106,108
467,4,0:36.0,Offensive rebound by Team,,106,108
468,4,0:36.0,,J. Anderson enters the game for T. Young,106,108
469,4,0:33.0,Turnover by A. Burks (bad pass; steal by J. Anderson),,106,108
470,4,0:30.0,,Atlanta full timeout,106,108
471,4,0:30.0,J. Blossomgame enters the game for C. Sexton,,106,108
472,4,0:30.0,,T. Young enters the game for J. Anderson,106,108
473,4,0:17.0,,T. Young misses 3-pt jump shot from 31 ft,106,108
474,4,0:14.0,,Offensive rebound by Team,106,108
475,4,0:14.0,Loose ball foul by A. Burks (drawn by D. Bembry),,106,108
476,4,0:14.0,,D. Bembry makes free throw 1 of 2,106,109
477,4,0:14.0,,D. Bembry misses free throw 2 of 2,106,109
478,4,0:12.0,Defensive rebound by C. Osman,,106,109
479,4,0:12.0,Cleveland full timeout,,106,109
480,4,0:12.0,C. Sexton enters the game for J. Blossomgame,,106,109
481,4,0:12.0,,J. Anderson enters the game for T. Young,106,109
482,4,0:08.0,J. Clarkson misses 3-pt jump shot from 26 ft,,106,109
483,4,0:06.0,,Defensive rebound by V. Carter,106,109
484,4,0:06.0,,Personal take foul by C. Osman (drawn by V. Carter),106,109
485,4,0:06.0,,V. Carter makes free throw 1 of 2,106,110
486,4,0:06.0,,V. Carter makes free throw 2 of 2,106,111
487,4,0:06.0,Cleveland full timeout,,106,111
488,4,0:01.0,A. Burks makes 2-pt layup from 2 ft (assist by C. Osman),,108,111
